check_type,field_name,value,percent,notes
state_month_missingness,AK_2022-01-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-02-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-03-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-04-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-05-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-06-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-07-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-08-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-09-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-10-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-11-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2022-12-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-01-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-02-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-03-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-04-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-05-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-06-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-07-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-08-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-09-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-10-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-11-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2023-12-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2024-01-01,1,3.85,Missing preserved fields for one state-month record.
state_month_missingness,AK_2024-02-01,1,3.85,Missing preserved fields for one state-month record.
