state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,latest_medicaid_enrollment,latest_chip_enrollment,state_population,population_denominator_year,population_denominator_source,population_source_url,population_date_accessed,population_notes,applications_per_1000_enrollees,determinations_per_1000_enrollees,determinations_per_application,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,latest_applications_submitted,latest_total_determinations,latest_month_preliminary_status,missingness_percent,data_quality_note,medicaid_chip_enrollment_per_1000_residents,medicaid_enrollment_per_1000_residents,chip_enrollment_per_1000_residents,applications_submitted_per_100000_residents,eligibility_determinations_per_100000_residents,map_medicaid_chip_enrollment_per_1000_residents,map_medicaid_enrollment_per_1000_residents,map_chip_enrollment_per_1000_residents,map_applications_per_100000_residents,map_determinations_per_100000_residents
GA,Georgia,2026-02-01,1841369.0,1659357.0,182012.0,11180878,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1929.4779726058596,986.7814020985718,0.5114240308044942,3110.0,0.169181818231272,-107024.0,-5.492936999876308,57044.0,21715.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,164.689124,148.410259,16.278865,510.192491,194.215517,164.689124,148.410259,16.278865,510.192491,194.215517
HI,Hawaii,2026-02-01,387233.0,361658.0,25575.0,1446146,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",833.594252175538,872.7528172025245,1.0469755698588243,56823.0,17.197724039829303,-16189.0,-4.012919473900778,3409.0,4192.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,267.768953,250.084016,17.684936,235.730002,289.873913,267.768953,250.084016,17.684936,235.730002,289.873913
IA,Iowa,2026-02-01,670025.0,585321.0,84704.0,3241488,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1904.3976531833916,1155.0003777688944,0.6064911788975351,-3076.0,-0.4569893671232103,-12209.0,-1.7895619391587052,18300.0,11371.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,206.702909,180.571700,26.131209,564.555537,350.795684,206.702909,180.571700,26.131209,564.555537,350.795684
ID,Idaho,2026-02-01,311066.0,291471.0,19595.0,2001619,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2314.910895883889,2279.256896552464,0.9845981115753436,43122.0,16.093661362075657,-9241.0,-2.885044660279045,7519.0,7707.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,155.407198,145.617623,9.789575,375.645915,385.038311,155.407198,145.617623,9.789575,375.645915,385.038311
IL,Illinois,2026-02-01,2988258.0,2666845.0,321413.0,12710158,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1566.7958433938518,954.6442370507452,0.6092971468336813,3425.0,0.1147467881787691,-216613.0,-6.758867985638112,133810.0,38802.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,235.107856,209.819972,25.287884,1052.779989,305.283380,235.107856,209.819972,25.287884,1052.779989,305.283380
IN,Indiana,2026-02-01,1438283.0,1317985.0,120298.0,6924275,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2725.671083626144,1611.7565826975167,0.5913246805088779,98741.0,7.371250770785835,-338973.0,-19.07282912534829,63533.0,47656.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,207.716042,190.342671,17.373371,917.540103,688.245340,207.716042,190.342671,17.373371,917.540103,688.245340
KS,Kansas,2026-02-01,396574.0,324334.0,72240.0,2970606,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1092.6132613865807,48.70835804978061,0.0445796877734828,6154.0,1.576251216638492,-24703.0,-5.863837807428367,13068.0,713.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,133.499360,109.181090,24.318270,439.910241,24.001837,133.499360,109.181090,24.318270,439.910241,24.001837
KY,Kentucky,2026-02-01,1305256.0,1176615.0,128641.0,4588372,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",741.884579681627,958.1298639462508,1.2914810338252662,-9242.0,-0.703082089132125,-77837.0,-5.627748820939734,8139.0,10292.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,284.470396,256.434090,28.036306,177.383176,224.306137,284.470396,256.434090,28.036306,177.383176,224.306137
LA,Louisiana,2026-02-01,1367435.0,1231040.0,136395.0,4597740,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1127.0472069474051,500.5385772764394,0.4441150061780843,-184356.0,-11.880208095033415,-158664.0,-10.396704276721234,24333.0,10222.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,297.414599,267.748938,29.665662,529.238278,222.326621,297.414599,267.748938,29.665662,529.238278,222.326621
MA,Massachusetts,2026-02-01,1567203.0,1383816.0,183387.0,7136171,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",956.774314750426,662.2254914402806,0.6921438851679687,-14189.0,-0.8972474882887987,-76187.0,-4.635965899755992,17640.0,9616.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,219.613992,193.915757,25.698235,247.191386,134.750134,219.613992,193.915757,25.698235,247.191386,134.750134
